R-HSA-420499,"Class C/3 (Metabotropic glutamate/pheromone receptors)",38,93,0.006318364019294789,1.1584520358346583E-7,2.7756510778598415E-4,6,7,5.339028296849973E-4,2.0,9606,Homo sapiens,"TAS2R60;TAS2R7;TAS2R40;TAS2R9;TAS2R8;TAS2R41;ZNF592;TAS2R42;TAS2R20;TAS2R43;TAS2R46;SLC38A10;GRM1;GRM3;GRM2;GRM5;GRM4;GRM7;GRM6;GRM8;TAS2R1;TAS1R2;TAS1R1;TAS2R3;TAS1R3;TAS2R5;TAS2R4;MLXIP;TAS2R50;GABBR2;GABBR1;CASR;TAS2R30;TAS2R31;TAS2R10;TAS2R13;TAS2R14;TAS2R16;TAS2R38;TAS2R39;TAS2R19;FER;MAP7D2","","R-HSA-420724;R-HSA-373075;R-HSA-420688;R-HSA-444705;R-HSA-444606;R-HSA-3296233"
R-HSA-156588,"Glucuronidation",24,56,0.00380460629118826,6.195263387519874E-6,0.007421925538248809,11,11,8.389901609335672E-4,2.0,9606,Homo sapiens,"UGT1A10;SLC35D1;SLC35D2;UGT2B28;ABHD10;GANAB;UGP2;EPB41L3;UGT1A5;UGT3A2;UGT1A4;UGT3A1;UGT2A2;UGT1A3;UGT2A1;UGT1A8;UGT1A7;UGT1A6;UGT2B11;UGT1A1;UGT2B15;UGT2B17;UGDH;UGT2B4;UGT2B7","","R-HSA-174931;R-HSA-174368;R-HSA-9632038;R-HSA-9632039;R-HSA-5694563;R-HSA-174916;R-HSA-159194;R-HSA-159179;R-HSA-8941701;R-HSA-173597;R-HSA-70286"
R-HSA-389958,"Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding",33,37,0.0025137577281065288,1.0066333866231504E-4,0.08039645314496895,6,6,4.576309968728549E-4,1.0,9606,Homo sapiens,"TUBAL3;TCF25;NAT10;ACTB;ACTG1;PEX26;CCT6B;TUBA3E;TUBA1C;TUBB6;TUBA3D;TUBA1B;TUBA3C;TUBA1A;TUBB3;TUBB1;CCT8;CCT7;CCT5;CCT4;CCT3;CCT2;VBP1;TUBB4B;TUBA4B;TUBB4A;TUBA4A;CCT6A;TUBB2B;TUBB2A;TCP1;PFDN1;PFDN2;PFDN4;PFDN5;PFDN6;TUBA8","","R-HSA-390453;R-HSA-389970;R-HSA-389954;R-HSA-389980;R-HSA-389961;R-HSA-390459"
R-HSA-428540,"Activation of RAC1",13,15,0.0010190909708539982,1.7387662853540897E-4,0.10415210049270997,4,4,3.050873312485699E-4,-1.0,9606,Homo sapiens,"CLDND1;ROBO1;CYP39A1;PAK1;NCK2;PAK6;SLIT2;RAC1;PAK3;SOS1;PAK2;SOS2;PAK5;NCK1;PAK4","","R-HSA-428535;R-HSA-428531;R-HSA-428515;R-HSA-428511"
R-HSA-8854214,"TBC/RABGAPs",44,49,0.0033290305047897276,2.3379063941917144E-4,0.11203247440966696,14,14,0.0010678056593699946,-1.0,9606,Homo sapiens,"ARF3;PTPRU;GPR61;RABGEF1;MAP1LC3B;RBMX2;TBC1D10C;TBC1D10A;RAB8A;TBC1D10B;POLG;RAB8B;ARHGEF10;GABARAPL2;SYTL1;TSC2;TSC1;RAB33A;RAB33B;TBC1D2;RABEP1;TBC1D3;TBC1D20;ALDH1A2;RAB35;TBC1D7;TBC1D24;TBC1D25;ULK1;RAB7B;OPTN;ARF6;RAB7A;RAB5C;RABGAP1;TYMS;GABARAP;GGA2;GGA1;GGA3;TBC1D13;TBC1D14;IGF2BP3;RAB6A;TBC1D17;RAB6B;TBC1D15;TBC1D16;RAB4A;KIAA0232;RAB11A;RAB11B;RAB5A","","R-HSA-8854759;R-HSA-8854182;R-HSA-8854209;R-HSA-8854255;R-HSA-8854222;R-HSA-8854604;R-HSA-8854293;R-HSA-8854612;R-HSA-8854290;R-HSA-8854303;R-HSA-8854302;R-HSA-8854173;R-HSA-8854588;R-HSA-8854329"
R-HSA-5688849,"Defective CSF2RB causes SMDP5",8,8,5.435151844554657E-4,4.0667782505366296E-4,0.13920000983265376,1,1,7.627183281214248E-5,1.0,9606,Homo sapiens,"RFC5;SFTPB;SFTA3;SFTPA2;SFTPC;SFTPD;PSAP;CSF2RB;SFTPA1;CSF2RA","","R-HSA-5688884"
R-HSA-5688890,"Defective CSF2RA causes SMDP4",8,8,5.435151844554657E-4,4.0667782505366296E-4,0.13920000983265376,1,1,7.627183281214248E-5,1.0,9606,Homo sapiens,"RFC5;SFTPB;SFTA3;SFTPA2;SFTPC;SFTPD;PSAP;CSF2RB;SFTPA1;CSF2RA","","R-HSA-5688899"
R-HSA-389356,"CD28 co-stimulation",33,39,0.0026496365242203953,5.369467979166417E-4,0.1522376720481423,19,19,0.001449164823430707,-1.0,9606,Homo sapiens,"PRR5;CD86;INO80E;SRC;MAPKAP1;CD80;PIK3R3;PIK3R2;PIK3R1;CDC42;PAK1;FAM83F;AKT2;GRAP2;AKT3;MLST8;THEM4;AKT1;MAP3K8;FYN;RICTOR;RAC1;PAK3;PAK2;PDK1;LYN;YES1;PDPK1;MTOR;VAV1;PIK3CA;LCK;BTK;CD28;TRIB3;GRB2;L2HGDH;MAP3K14","","R-HSA-389381;R-HSA-389348;R-HSA-2317314;R-HSA-389158;R-HSA-389350;R-HSA-388832;R-HSA-388814;R-HSA-388808;R-HSA-389352;R-HSA-388811;R-HSA-2316429;R-HSA-389354;R-HSA-198640;R-HSA-2317332;R-HSA-392530;R-HSA-389788;R-HSA-389756;R-HSA-388831;R-HSA-198270"
R-HSA-5687613,"Diseases associated with surfactant metabolism",10,16,0.0010870303689109314,5.718443440873458E-4,0.1522376720481423,7,7,5.339028296849973E-4,1.0,9606,Homo sapiens,"RFC5;SFTPB;SFTA3;SLC34A2;SFTPA2;ABCA3;SFTPC;SFTPD;ABCA4;CSF2RB;CACNA1F;CSF2RA;PSAP;SFTPA1","","R-HSA-5688884;R-HSA-5688899;R-HSA-5687875;R-HSA-5687585;R-HSA-5688397;R-HSA-5688025;R-HSA-5688377"
R-HSA-6803157,"Antimicrobial peptides",51,123,0.008356545961002786,6.928718772145171E-4,0.1656646334531514,54,58,0.004423766303104264,1.0,9606,Homo sapiens,"PGLYRP4;PGLYRP3;PGLYRP2;LEAP2;CLU;HTN1;WFDC2;S100A7A;HTN3;GNLY;AKT1;CTSG;CCR6;EPPIN;ATP7A;PRSS3;PGLYRP1;PRSS2;CAMP;CCR2;SLC11A1;RNASE6;RNASE3;TLR1;BPI;S100A9;S100A8;S100A7;LTF;TLR2;ANKRD17;REG3A;DEFB125;ITLN1;DEFB124;REG3G;STATH;ART1;PDZD11;RNASE8;RNASE7;PI3;DEFA1B;ELANE;CHGA;PLA2G2A;DEFA5;GZMB;DEFA1;LYZ;DEF6;ATOX1;TF;CD4;BPIFB1;BPIFB4;S100Z;SEMG1;LCN2","","R-HSA-6801766;R-HSA-1462039;R-HSA-6810724;R-HSA-6801762;R-HSA-6799981;R-HSA-1974676;R-HSA-6799977;R-HSA-6807144;R-HSA-1462041;R-HSA-1222685;R-HSA-6803063;R-HSA-6808566;R-HSA-1462023;R-HSA-1467269;R-HSA-5229273;R-HSA-6801776;R-HSA-6798528;R-HSA-6806732;R-HSA-6799959;R-HSA-8948027;R-HSA-8862771;R-HSA-6789072;R-HSA-6813659;R-HSA-6803545;R-HSA-1972385;R-HSA-1471314;R-HSA-1461971;R-HSA-6807585;R-HSA-6804527;R-HSA-1461982;R-HSA-1222491;R-HSA-1471322;R-HSA-1973968;R-HSA-6809521;R-HSA-8862300;R-HSA-6813626;R-HSA-1467209;R-HSA-1462005;R-HSA-1462003;R-HSA-435171;R-HSA-1462014;R-HSA-6807565;R-HSA-1471354;R-HSA-6798474;R-HSA-6801687;R-HSA-6810643;R-HSA-6801808;R-HSA-8862320;R-HSA-6807581;R-HSA-1471338;R-HSA-6807578;R-HSA-1461995;R-HSA-6798489;R-HSA-1461993"
